Estado,Partido,MR,RP,Legislatura,year
DF,PRD,38,,I,1997
DF,PT,,,I,1997
DF,PVEM,,,I,1997
DF,PAN,14,,II,2000
DF,PVEM,7,,II,2000
DF,PRI,0,,II,2000
DF,PRD,18,,II,2000
DF,PT,0,,II,2000
DF,CDPPN,,,II,2000
DF,DSPPN,,,II,2000
DF,PRI,,,III,2003
DF,PAN,3,,III,2003
DF,PRD,37,,III,2003
DF,PVEM,,,III,2003
DF,México Posible,,,III,2003
DF,PRD,34,,IV,2006
DF,PAN,4,,IV,2006
DF,PVEM Convergencia,1,,IV,2006
DF,PT,1,,IV,2006
DF,PRI,,,IV,2006
DF,PNA,,,IV,2006
DF,PRD,31,,V,2009
DF,PAN,9,,V,2009
DF,PRI,,,V,2009
DF,PT,,,V,2009
DF,PVEM,,,V,2009
DF,PNA,,,V,2009
DF,PAN,2,,VI,2012
DF,PRI,,,VI,2012
DF,PRD,32,,VI,2012
DF,PT,5,,VI,2012
DF,PVEM,,,VI,2012
DF,MC,1,,VI,2012
DF,PNA,,,VI,2012
DF,PAN,5,,VII,2015
DF,PRI,3,,VII,2015
DF,PVEM,,,VII,2015
DF,PRD,11,,VII,2015
DF,PT,1,,VII,2015
DF,PNA,1,,VII,2015
DF,MC,,,VII,2015
DF,Morena,19,,VII,2015
DF,Humanista,,,VII,2015
DF,PES,,,VII,2015
DF,Morena,20,,VIII,2018
DF,PRD,11,,VIII,2018
DF,PAN,5,,VIII,2018
DF,PRI,3,,VIII,2018
DF,MC,,,VIII,2018
DF,PVEM,,,VIII,2018
DF,IND,,,VIII,2018
DF,PT,1,,VIII,2018
DF,PES,,,VIII,2018
DF,Humanista,,,VIII,2018
DF,PNA,1,,VIII,2018
Durango,PRI,11,,LIII,1974
Durango,PRI,11,,LIV,1977
Durango,PRI,12,,LV,1980
Durango,PAN,,,LV,1980
Durango,PPS,,,LV,1980
Durango,PARM,,,LV,1980
Durango,PCM,,,LV,1980
Durango,PRI,12,,LVI,1983
Durango,PPS,,,LVI,1983
Durango,PSUM,,,LVI,1983
Durango,PRI,12,,LVII,1986
Durango,PAN,,,LVII,1986
Durango,PST,,,LVII,1986
Durango,PRT,,,LVII,1986
Durango,PRI,15,,LVIII,1989
Durango,PAN,,,LVIII,1989
Durango,PPS,,,LVIII,1989
Durango,PRD,,,LVIII,1989
Durango,Local,,,LVIII,1989
Durango,PRI,12,,LIX,1992
Durango,PAN,3,,LIX,1992
Durango,PRD,,,LIX,1992
Durango,PT,,,LIX,1992
Durango,PRI,10,,LX,1995
